SUMLEV,COUNTY,COUSUB,CT,BLKGRP,BLOCK,NAME,geoid20,Neighborhood,NeighborhoodGroup
750,3,61000,180300,3,3012,Block 3012,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3013,Block 3013,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3014,Block 3014,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3015,Block 3015,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3016,Block 3016,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3017,Block 3017,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3018,Block 3018,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3019,Block 3019,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3020,Block 3020,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3021,Block 3021,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3022,Block 3022,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3023,Block 3023,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3024,Block 3024,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3025,Block 3025,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3026,Block 3026,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3027,Block 3027,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3028,Block 3028,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3029,Block 3029,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3030,Block 3030,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3031,Block 3031,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3032,Block 3032,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3033,Block 3033,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3034,Block 3034,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3035,Block 3035,4.20032E+14,Allentown,Allentown
750,3,61000,160800,1,1019,Block 1019,4.20032E+14,Arlington - Arlington Heights,Arlington-Arlington Heights-St. Clair-MtOliver
750,3,61000,161000,1,1000,Block 1000,4.20032E+14,Arlington - Arlington Heights,Arlington-Arlington Heights-St. Clair-MtOliver
750,3,61000,161000,1,1001,Block 1001,4.20032E+14,Arlington - Arlington Heights,Arlington-Arlington Heights-St. Clair-MtOliver
750,3,61000,161000,1,1002,Block 1002,4.20032E+14,Arlington - Arlington Heights,Arlington-Arlington Heights-St. Clair-MtOliver
750,3,61000,161000,1,1003,Block 1003,4.20032E+14,Arlington - Arlington Heights,Arlington-Arlington Heights-St. Clair-MtOliver
