,stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
95,Pennsylvania,42003270300,270300,,PITTSBURGH  ,Pittsburgh  ,Brighton Heights,0.295852594
96,Pennsylvania,42003270400,270400,,PITTSBURGH  ,Pittsburgh  ,Marshall-Shadeland,0.606853235
97,Pennsylvania,42003270800,270800,,PITTSBURGH  ,Pittsburgh  ,Brighton-Heights,0.292287303
98,Pennsylvania,42003271500,271500,,PITTSBURGH  ,Pittsburgh  ,Marshall-Shadeland,0.353353216
99,Pennsylvania,42003281400,281400,,PITTSBURGH  ,Pittsburgh  ,Crafton-Heights,0.344212543
100,Pennsylvania,42003281500,281500,,PITTSBURGH  ,Pittsburgh  ,Crafton-Heights,0.293820022
101,Pennsylvania,42003290100,290100,,PITTSBURGH  ,Pittsburgh  ,Carrick,0.307687359
102,Pennsylvania,42003290200,290200,,PITTSBURGH  ,Pittsburgh  ,Carrick,0.310517328
103,Pennsylvania,42003290400,290400,,PITTSBURGH  ,Pittsburgh  ,Carrick,0.296869432
104,Pennsylvania,42003300100,300100,,PITTSBURGH  ,Pittsburgh  ,Knoxville,0.390726631
105,Pennsylvania,42003310200,310200,,PITTSBURGH  ,Pittsburgh  ,Lincoln-Place,0.308693843
106,Pennsylvania,42003310300,310300,,PITTSBURGH  ,Pittsburgh  ,New-Homestead,0.316983455
107,Pennsylvania,42003320400,320400,,PITTSBURGH  ,Pittsburgh  ,Overbrook,0.310046649
108,Pennsylvania,42003320600,320600,,PITTSBURGH  ,Pittsburgh  ,Brookline,0.279139614
109,Pennsylvania,42003320700,320700,,PITTSBURGH  ,Pittsburgh  ,Overbrook,0.294503447
365,Pennsylvania,42003561600,160300,561600,PITTSBURGH  ,Pittsburgh  ,Arlington,0.334520462
366,Pennsylvania,42003561600,160400,561600,PITTSBURGH  ,Pittsburgh  ,Arlington-Heights,0.473120252
367,Pennsylvania,42003561700,160600,561700,PITTSBURGH  ,Pittsburgh  ,Saint-Clair,0.699500402
368,Pennsylvania,42003561700,160700,561700,PITTSBURGH  ,Pittsburgh  ,Mount-Oliver Neighborhood,0.380567299
369,Pennsylvania,42003561900,120100,"561900, 980000 & 981800",PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.637099034
370,Pennsylvania,42003562000,40300,562000 & 982200,PITTSBURGH  ,Pittsburgh  ,North-Oakland,0.070352811
371,Pennsylvania,42003562300,150100,562300,PITTSBURGH  ,Pittsburgh  ,Hazelwood,0.371847244
372,Pennsylvania,42003562300,150400,562300,PITTSBURGH  ,Pittsburgh  ,Glen-Hazel,0.383138055
373,Pennsylvania,42003562400,180600,562400,PITTSBURGH  ,Pittsburgh  ,Bon-Air,0.289504665
374,Pennsylvania,42003562400,180900,562400,PITTSBURGH  ,Pittsburgh  ,Beltzhoover,0.479978155
375,Pennsylvania,42003562500,201700,562500,PITTSBURGH  ,Pittsburgh  ,Esplen,0.348333537
376,Pennsylvania,42003562500,201800,562500,PITTSBURGH  ,Pittsburgh  ,Sheraden,0.348089355
377,Pennsylvania,42003562600,201900,562600,PITTSBURGH  ,Pittsburgh  ,West-End,0.287903689
378,Pennsylvania,42003562600,202000,562600,PITTSBURGH  ,Pittsburgh  ,Elliott,0.344055061
379,Pennsylvania,42003562700,220100,562700,PITTSBURGH  ,Pittsburgh  ,Allegheny-West,0.20639897
380,Pennsylvania,42003562700,220400,562700,PITTSBURGH  ,Pittsburgh  ,Allegheny-Center,0.313581335
381,Pennsylvania,42003562800,280500,562800,PITTSBURGH  ,Pittsburgh  ,East-Carnegie,0.332559825
382,Pennsylvania,42003562800,281200,562800,PITTSBURGH  ,Pittsburgh  ,Oakwood,0.268579214
383,Pennsylvania,42003562900,310100,562900,PITTSBURGH  ,Pittsburgh  ,Hays,0.306539098
384,Pennsylvania,42003563000,202100,563000,PITTSBURGH  ,Pittsburgh  ,Chartiers-City,0.438444683
385,Pennsylvania,42003563000,280700,563000,PITTSBURGH  ,Pittsburgh  ,Windgap,0.340615473
386,Pennsylvania,42003563000,280800,563000,PITTSBURGH  ,Pittsburgh  ,Fairywood,0.820311359
387,Pennsylvania,42003563100,201600,563100,PITTSBURGH  ,Pittsburgh  ,Ridgemont,0.27678553
388,Pennsylvania,42003563100,281100,563100,PITTSBURGH  ,Pittsburgh  ,Westwood,0.268105915
389,Pennsylvania,42003563200,230400,563200,PITTSBURGH  ,Pittsburgh  ,East-Allegheny,0.388730745
411,Pennsylvania,42003980000,120200,"561900, 980000 & 981800",PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.525315088
412,Pennsylvania,42003980600,210800,980600,PITTSBURGH  ,Pittsburgh  ,Chateau,0.439386232
413,Pennsylvania,42003980700,192100,980700,PITTSBURGH  ,Pittsburgh  ,South-Shore,0.354375073
414,Pennsylvania,42003981200,220500,563200 & 981200,PITTSBURGH  ,Pittsburgh  ,North-Shore,0.12148674
415,Pennsylvania,42003981800,120300,,PITTSBURGH  ,Pittsburgh  ,Lincoln-Lemington-Belmar,0.574293284
416,Pennsylvania,42003982200,50700,562000 & 982200,PITTSBURGH  ,Pittsburgh  ,North-Oakland,0.138805552
